# Datamuse-suggested pairs — review and copy good ones to word-pairs.txt
# Then run: validateWordPairs.ts
# Format: START,TARGET  # metrics
NAME,WORD  # moves=5 avg=14 min=6
NICK,CAVE  # moves=5 avg=12 min=9
NICK,HANK  # moves=4 avg=10.2 min=8
NOPE,JUST  # moves=5 avg=9 min=5
NOTE,WINS  # moves=4 avg=10.4 min=8
NOTE,TIES  # moves=5 avg=9 min=6
NUTS,FIGS  # moves=4 avg=7.8 min=5
PACE,LAPS  # moves=5 avg=10.2 min=8
PACE,BALL  # moves=4 avg=13 min=8
PACK,BAGS  # moves=4 avg=11.6 min=8
PADS,TOES  # moves=5 avg=9.8 min=5
PAID,WAGE  # moves=5 avg=9.8 min=6
PAID,RENT  # moves=4 avg=8 min=6
PARK,RIDE  # moves=5 avg=11 min=7
PASS,KICK  # moves=5 avg=10.2 min=7
PECK,JANE  # moves=4 avg=9.4 min=7
PEEL,VALE  # moves=5 avg=10.8 min=5
PETS,TOYS  # moves=4 avg=9.4 min=5
PIGS,PORK  # moves=5 avg=8 min=5
PIGS,RATS  # moves=4 avg=7.6 min=5
PIKE,CARP  # moves=5 avg=13 min=6
PINE,NUTS  # moves=4 avg=11 min=5
PINK,DOTS  # moves=4 avg=9.8 min=6
PINS,BENT  # moves=4 avg=10.8 min=8
PINS,LOCK  # moves=4 avg=10 min=5
PINT,GILL  # moves=4 avg=11 min=8
PITS,ROWS  # moves=4 avg=10 min=6
POLE,LAPS  # moves=5 avg=12.5 min=9
PONG,TOSS  # moves=4 avg=8.2 min=7
PORT,VALE  # moves=5 avg=9.5 min=5
POST,CODE  # moves=4 avg=10.4 min=7
POTS,WARE  # moves=5 avg=13.2 min=7
PULL,WIRE  # moves=5 avg=11.2 min=9
PUNK,ROCK  # moves=4 avg=8.8 min=6
RACE,LAPS  # moves=4 avg=10.6 min=9
RACE,MANS  # moves=4 avg=11.6 min=8
RACK,PINS  # moves=4 avg=11.8 min=9
RAGE,KILL  # moves=5 avg=12.8 min=9
RAMS,PUNT  # moves=5 avg=9.8 min=5
RAND,FIST  # moves=5 avg=8.7 min=6
RANG,WARN  # moves=4 avg=9.8 min=8
RANT,RAVE  # moves=4 avg=11.8 min=7
RATE,CENT  # moves=5 avg=12.3 min=8
RATS,DOSE  # moves=5 avg=9 min=7
READ,BOOK  # moves=5 avg=9.2 min=6
REED,BEDS  # moves=4 avg=7.2 min=5
REST,LIFE  # moves=4 avg=9 min=5
RICK,WARE  # moves=4 avg=13.4 min=11
RICK,CARL  # moves=5 avg=13.7 min=10
RIDE,LIFT  # moves=4 avg=8.4 min=5
RIPE,FIGS  # moves=5 avg=9.3 min=5
RISE,SINK  # moves=4 avg=8.8 min=7
ROCK,BAND  # moves=4 avg=10.6 min=6
RODE,BIKE  # moves=4 avg=8.2 min=6
ROLE,CAST  # moves=4 avg=11.4 min=7
ROOT,BEER  # moves=5 avg=9 min=5
ROSE,RANK  # moves=5 avg=9.8 min=7
ROSE,FAME  # moves=4 avg=10.6 min=8
SACK,PUNT  # moves=4 avg=9 min=5
SAFE,SEAT  # moves=5 avg=10.5 min=6
SAYS,WANT  # moves=4 avg=11.2 min=8
SCAT,NESS  # moves=4 avg=8.4 min=5
SEAL,COAT  # moves=4 avg=9.6 min=6
SELL,SALE  # moves=4 avg=14.4 min=10
SEND,MAIL  # moves=4 avg=8 min=6
SENT,JAIL  # moves=5 avg=9.3 min=6
SENT,CAMP  # moves=5 avg=10.3 min=7
SETS,CARS  # moves=4 avg=13.6 min=11
SICK,WELL  # moves=5 avg=10.7 min=5
SING,TUNE  # moves=4 avg=8.6 min=5
SLAP,TEAR  # moves=4 avg=8.4 min=6
SONG,TUNE  # moves=4 avg=9.4 min=5
SONS,DIED  # moves=5 avg=8 min=5
SORE,RASH  # moves=5 avg=10.3 min=6
STAB,VEST  # moves=5 avg=9.8 min=6
SURE,SAFE  # moves=4 avg=11 min=6
SURE,WANT  # moves=5 avg=11.8 min=6
TACK,SAIL  # moves=4 avg=10.8 min=6
TALE,LANG  # moves=4 avg=12.8 min=11
TALL,BARK  # moves=4 avg=10.2 min=5
TALL,MAST  # moves=4 avg=12.2 min=8
TEND,WEAK  # moves=4 avg=7 min=5
TENS,FLED  # moves=4 avg=7 min=5
TENT,BAGS  # moves=5 avg=11.7 min=8
TICK,RASH  # moves=5 avg=9.5 min=5
TICK,BOOM  # moves=5 avg=7.7 min=5
TIDE,DOCK  # moves=5 avg=9.3 min=6
TIES,BIND  # moves=4 avg=9.8 min=8
TILL,DATE  # moves=4 avg=12.2 min=10
TIRE,LAPS  # moves=5 avg=12 min=9
TOLD,WANT  # moves=5 avg=8.7 min=5
TOME,MAGE  # moves=4 avg=13.6 min=8
TONE,MOOD  # moves=5 avg=8.7 min=6
TONS,LOAD  # moves=5 avg=7.8 min=5
TOOK,PART  # moves=5 avg=7.3 min=5
TOTE,BAGS  # moves=5 avg=10.5 min=6
TUCK,PIKE  # moves=5 avg=8.5 min=6
TYPE,TANK  # moves=4 avg=7.8 min=5
VICE,GORE  # moves=5 avg=9.8 min=6
VICE,MATE  # moves=4 avg=11.4 min=6
WANT,HEAR  # moves=5 avg=11.7 min=8
WANT,LOSE  # moves=5 avg=10.3 min=8
WARM,MILD  # moves=5 avg=8.5 min=6
WASH,SINS  # moves=5 avg=11 min=6
WENT,EARN  # moves=5 avg=9.2 min=6
WENT,LOSE  # moves=4 avg=12.2 min=11
WIDE,BAYS  # moves=5 avg=14.3 min=8
WIFE,SONS  # moves=4 avg=10 min=7
WING,TIPS  # moves=5 avg=9.3 min=5
WIRE,COIL  # moves=5 avg=11.8 min=6
WISH,HERE  # moves=4 avg=8.4 min=5
WOOD,BAYS  # moves=5 avg=11.7 min=6
WOOD,BARK  # moves=4 avg=9.6 min=6
WORE,HATS  # moves=4 avg=14.8 min=10
YARD,DASH  # moves=5 avg=9.5 min=5
YARD,PUNT  # moves=5 avg=9.5 min=5
YELL,NESS  # moves=5 avg=9 min=6
