# Steple pair pool
# Generated: 2026-06-06
# Word length: 4   Moves: 4–5   Sample: 500,000
# Pairs: 19752 (easy: 13521, medium: 6231, hard: 0)
# Format: START,TARGET  # score=N tier=X moves=N avg=N min=N conc=N
# ── Easy (score 1–6, moves 4) ───────────────────────────
PROP,SHIP  # score=4 tier=easy moves=4 avg=10.2 min=8 conc=0.42
PROP,CHIN  # score=4 tier=easy moves=4 avg=10.4 min=8 conc=0.47
PROP,COMB  # score=4 tier=easy moves=4 avg=9.8 min=7 conc=0.44
REAP,WELD  # score=4 tier=easy moves=4 avg=10 min=8 conc=0.45
ROAD,HEMP  # score=4 tier=easy moves=4 avg=10 min=7 conc=0.4
SCAN,SHIP  # score=4 tier=easy moves=4 avg=9.2 min=8 conc=0.49
SHIN,TREE  # score=4 tier=easy moves=4 avg=10.2 min=8 conc=0.38
SHIN,BEEN  # score=4 tier=easy moves=4 avg=10.2 min=8 conc=0.39
SHIN,SWAP  # score=4 tier=easy moves=4 avg=9.6 min=9 conc=0.52
SHIP,HOOP  # score=4 tier=easy moves=4 avg=10.2 min=8 conc=0.43
SHOP,GROW  # score=4 tier=easy moves=4 avg=10.2 min=8 conc=0.46
SHOP,CREW  # score=4 tier=easy moves=4 avg=9.6 min=7 conc=0.43
SKIN,SHOE  # score=4 tier=easy moves=4 avg=9.6 min=7 conc=0.5
SKIS,CHOP  # score=4 tier=easy moves=4 avg=9.2 min=8 conc=0.48
SKIS,FLAP  # score=4 tier=easy moves=4 avg=9.8 min=7 conc=0.5
SLIM,TEAK  # score=4 tier=easy moves=4 avg=11 min=9 conc=0.41
SLIP,SPAN  # score=4 tier=easy moves=4 avg=9.8 min=9 conc=0.39
SNAP,STUB  # score=4 tier=easy moves=4 avg=9.6 min=7 conc=0.44
SNOW,CREW  # score=4 tier=easy moves=4 avg=9.8 min=7 conc=0.42
SNOW,COOP  # score=4 tier=easy moves=4 avg=10.8 min=7 conc=0.38
SNOW,SHIN  # score=4 tier=easy moves=4 avg=11.2 min=9 conc=0.38
SOMA,HOOP  # score=4 tier=easy moves=4 avg=10 min=8 conc=0.46
SPIN,TEEN  # score=4 tier=easy moves=4 avg=9.6 min=8 conc=0.4
SPOT,THIN  # score=4 tier=easy moves=4 avg=9.6 min=8 conc=0.45
SPOT,CHIN  # score=4 tier=easy moves=4 avg=10 min=8 conc=0.49
STAB,SHIP  # score=4 tier=easy moves=4 avg=10.8 min=9 conc=0.39
STEP,CHOW  # score=4 tier=easy moves=4 avg=9 min=7 conc=0.42
STEP,SHUT  # score=4 tier=easy moves=4 avg=10.4 min=7 conc=0.43
STOP,THIN  # score=4 tier=easy moves=4 avg=10.2 min=9 conc=0.37
SWAP,SKIS  # score=4 tier=easy moves=4 avg=10 min=8 conc=0.49
TEEN,CHIT  # score=4 tier=easy moves=4 avg=9.8 min=8 conc=0.5
THEE,BEEF  # score=4 tier=easy moves=4 avg=9.6 min=7 conc=0.5
THEE,CHIP  # score=4 tier=easy moves=4 avg=10.2 min=8 conc=0.45
THEE,SHIP  # score=4 tier=easy moves=4 avg=9.4 min=8 conc=0.37
THEN,SKIS  # score=4 tier=easy moves=4 avg=9 min=8 conc=0.46
THEN,SHOP  # score=4 tier=easy moves=4 avg=10 min=8 conc=0.38
THIN,SPAS  # score=4 tier=easy moves=4 avg=9.6 min=9 conc=0.46
THIS,SPIT  # score=4 tier=easy moves=4 avg=9.8 min=9 conc=0.39
THIS,TREE  # score=4 tier=easy moves=4 avg=10 min=8 conc=0.41
THIS,KEEN  # score=4 tier=easy moves=4 avg=9.8 min=8 conc=0.43
TOUT,COAL  # score=4 tier=easy moves=4 avg=11.2 min=7 conc=0.4
TYNE,CUBS  # score=4 tier=easy moves=4 avg=11 min=8 conc=0.43
WEAK,HEMP  # score=4 tier=easy moves=4 avg=9.2 min=7 conc=0.5
WHIP,SWAP  # score=4 tier=easy moves=4 avg=10.6 min=9 conc=0.45
AIDS,BOND  # score=5 tier=easy moves=4 avg=17.6 min=12 conc=0.45
AIDS,BYTE  # score=5 tier=easy moves=4 avg=17.4 min=7 conc=0.46
AIDS,BETH  # score=5 tier=easy moves=4 avg=16.8 min=7 conc=0.45
AIMS,SANG  # score=5 tier=easy moves=4 avg=19.2 min=12 conc=0.47
AIMS,SUNG  # score=5 tier=easy moves=4 avg=15.6 min=12 conc=0.45
ALAN,SEAM  # score=5 tier=easy moves=4 avg=11.8 min=9 conc=0.45
ARES,RIBS  # score=5 tier=easy moves=4 avg=15.4 min=9 conc=0.49
ARID,BEAD  # score=5 tier=easy moves=4 avg=10.4 min=7 conc=0.5
ARID,MAIN  # score=5 tier=easy moves=4 avg=11.2 min=7 conc=0.6
ARID,BRAS  # score=5 tier=easy moves=4 avg=10.4 min=7 conc=0.51
ARMS,SUNS  # score=5 tier=easy moves=4 avg=14.8 min=9 conc=0.48
ARMS,BIOS  # score=5 tier=easy moves=4 avg=12.8 min=8 conc=0.55
ARMS,SANS  # score=5 tier=easy moves=4 avg=17.4 min=9 conc=0.48
BABE,HERS  # score=5 tier=easy moves=4 avg=18.8 min=13 conc=0.45
BABE,DIRK  # score=5 tier=easy moves=4 avg=18.6 min=10 conc=0.41
BABE,DISH  # score=5 tier=easy moves=4 avg=13.8 min=7 conc=0.57
BABE,LAID  # score=5 tier=easy moves=4 avg=17.6 min=12 conc=0.46
BABE,CONN  # score=5 tier=easy moves=4 avg=19.4 min=8 conc=0.49
BABE,WORD  # score=5 tier=easy moves=4 avg=20.4 min=13 conc=0.44
BABE,MOSS  # score=5 tier=easy moves=4 avg=20.2 min=13 conc=0.47
BABE,FOND  # score=5 tier=easy moves=4 avg=16.4 min=11 conc=0.41
BABE,SORT  # score=5 tier=easy moves=4 avg=19.6 min=13 conc=0.49
BACK,PEER  # score=5 tier=easy moves=4 avg=17.2 min=15 conc=0.49
BACK,SEEK  # score=5 tier=easy moves=4 avg=17 min=14 conc=0.49
BACK,GAME  # score=5 tier=easy moves=4 avg=20 min=18 conc=0.48
BACK,TOLL  # score=5 tier=easy moves=4 avg=16.6 min=11 conc=0.49
BACK,LAMA  # score=5 tier=easy moves=4 avg=17.2 min=8 conc=0.49
BACK,PEEL  # score=5 tier=easy moves=4 avg=17 min=14 conc=0.49
BACK,MISS  # score=5 tier=easy moves=4 avg=16.8 min=10 conc=0.44
BACK,SAKE  # score=5 tier=easy moves=4 avg=20 min=18 conc=0.48
BAGS,NONE  # score=5 tier=easy moves=4 avg=23.6 min=18 conc=0.47
BAGS,DIRK  # score=5 tier=easy moves=4 avg=20.8 min=10 conc=0.42
BAGS,HERE  # score=5 tier=easy moves=4 avg=24.8 min=17 conc=0.41
BAIL,POOL  # score=5 tier=easy moves=4 avg=13.8 min=11 conc=0.57
BAIT,BARN  # score=5 tier=easy moves=4 avg=15.2 min=7 conc=0.41
BAIT,YARD  # score=5 tier=easy moves=4 avg=15.2 min=7 conc=0.46
BAIT,DIRT  # score=5 tier=easy moves=4 avg=13.6 min=7 conc=0.4
BAIT,RENT  # score=5 tier=easy moves=4 avg=12.8 min=7 conc=0.44
BAIT,PARK  # score=5 tier=easy moves=4 avg=16.2 min=7 conc=0.41
BAIT,HARM  # score=5 tier=easy moves=4 avg=15.2 min=7 conc=0.41
BAIT,CANE  # score=5 tier=easy moves=4 avg=13.8 min=7 conc=0.41
BAIT,WIRE  # score=5 tier=easy moves=4 avg=18.2 min=7 conc=0.38
BAIT,PINT  # score=5 tier=easy moves=4 avg=12.6 min=7 conc=0.37
BAKE,DAMS  # score=5 tier=easy moves=4 avg=21.8 min=18 conc=0.46
BAKE,LINK  # score=5 tier=easy moves=4 avg=21.4 min=17 conc=0.48
BAKE,RANT  # score=5 tier=easy moves=4 avg=17.4 min=9 conc=0.44
BAKE,COMP  # score=5 tier=easy moves=4 avg=17.4 min=8 conc=0.44
BAKE,CUPS  # score=5 tier=easy moves=4 avg=20.6 min=14 conc=0.48
BAKE,LING  # score=5 tier=easy moves=4 avg=20.8 min=17 conc=0.47
BAKE,COLT  # score=5 tier=easy moves=4 avg=19.8 min=17 conc=0.44
BAKE,COMB  # score=5 tier=easy moves=4 avg=17.2 min=7 conc=0.45
BAKE,PACK  # score=5 tier=easy moves=4 avg=18.6 min=17 conc=0.48
BAKE,LIFT  # score=5 tier=easy moves=4 avg=15.4 min=9 conc=0.49
BAKE,HUNK  # score=5 tier=easy moves=4 avg=19 min=16 conc=0.46
BALD,COKE  # score=5 tier=easy moves=4 avg=16.4 min=11 conc=0.48
BALD,LACE  # score=5 tier=easy moves=4 avg=17 min=11 conc=0.4
BALD,HORN  # score=5 tier=easy moves=4 avg=14.2 min=9 conc=0.52
BALD,MINT  # score=5 tier=easy moves=4 avg=14.6 min=11 conc=0.39
BALD,BIOS  # score=5 tier=easy moves=4 avg=15.6 min=8 conc=0.49
BALD,MORE  # score=5 tier=easy moves=4 avg=19.6 min=11 conc=0.45
BALD,MINI  # score=5 tier=easy moves=4 avg=13.2 min=9 conc=0.45
BALD,HIRE  # score=5 tier=easy moves=4 avg=17.8 min=11 conc=0.48
BALD,WINK  # score=5 tier=easy moves=4 avg=15.4 min=11 conc=0.41
BALD,DAWN  # score=5 tier=easy moves=4 avg=14.6 min=11 conc=0.48
BALD,HOWE  # score=5 tier=easy moves=4 avg=16.4 min=11 conc=0.47
BALD,COMA  # score=5 tier=easy moves=4 avg=13 min=10 conc=0.46
BALD,HUNK  # score=5 tier=easy moves=4 avg=14.6 min=11 conc=0.42
BALD,MERE  # score=5 tier=easy moves=4 avg=20.2 min=11 conc=0.41
BALD,WINS  # score=5 tier=easy moves=4 avg=17.2 min=11 conc=0.41
BALD,FINS  # score=5 tier=easy moves=4 avg=17 min=11 conc=0.43
BALD,CAST  # score=5 tier=easy moves=4 avg=18.8 min=11 conc=0.46
BALD,LING  # score=5 tier=easy moves=4 avg=15.2 min=11 conc=0.45
BALD,MODE  # score=5 tier=easy moves=4 avg=17.2 min=11 conc=0.47
BALD,HOOP  # score=5 tier=easy moves=4 avg=12.8 min=8 conc=0.49
BALD,DART  # score=5 tier=easy moves=4 avg=18 min=11 conc=0.45
BALD,SING  # score=5 tier=easy moves=4 avg=14.8 min=11 conc=0.46
BALD,CORK  # score=5 tier=easy moves=4 avg=13.6 min=11 conc=0.48
BALL,HUNK  # score=5 tier=easy moves=4 avg=16.6 min=8 conc=0.48
BALL,CORD  # score=5 tier=easy moves=4 avg=18.6 min=14 conc=0.47
BALL,HOWE  # score=5 tier=easy moves=4 avg=21 min=13 conc=0.47
BALL,BEAD  # score=5 tier=easy moves=4 avg=16.8 min=13 conc=0.47
BALL,BEAN  # score=5 tier=easy moves=4 avg=17.2 min=13 conc=0.47
BALM,GOOD  # score=5 tier=easy moves=4 avg=12.8 min=10 conc=0.5
BALM,PENS  # score=5 tier=easy moves=4 avg=18.4 min=9 conc=0.46
BALM,MOOD  # score=5 tier=easy moves=4 avg=13 min=10 conc=0.49
BALM,BRIT  # score=5 tier=easy moves=4 avg=13.6 min=7 conc=0.52
BALM,PIKE  # score=5 tier=easy moves=4 avg=16.2 min=9 conc=0.46
BALM,PACT  # score=5 tier=easy moves=4 avg=14.8 min=9 conc=0.46
BALM,PIPE  # score=5 tier=easy moves=4 avg=15 min=9 conc=0.44
BAND,SIMS  # score=5 tier=easy moves=4 avg=19.2 min=12 conc=0.41
BAND,WORE  # score=5 tier=easy moves=4 avg=17 min=13 conc=0.41
BAND,NOTE  # score=5 tier=easy moves=4 avg=16.2 min=12 conc=0.43
BAND,BAIT  # score=5 tier=easy moves=4 avg=13.2 min=7 conc=0.36
BAND,LOAD  # score=5 tier=easy moves=4 avg=14.4 min=10 conc=0.42
BAND,SEAM  # score=5 tier=easy moves=4 avg=14.2 min=11 conc=0.43
BAND,LESS  # score=5 tier=easy moves=4 avg=16.8 min=12 conc=0.44
BAND,DAME  # score=5 tier=easy moves=4 avg=19.6 min=12 conc=0.41
BAND,WILL  # score=5 tier=easy moves=4 avg=15.8 min=10 conc=0.43
BAND,SITS  # score=5 tier=easy moves=4 avg=20.8 min=12 conc=0.43
BAND,GULL  # score=5 tier=easy moves=4 avg=16.2 min=11 conc=0.49
BAND,DULL  # score=5 tier=easy moves=4 avg=16.6 min=11 conc=0.46
BAND,SEAT  # score=5 tier=easy moves=4 avg=17 min=12 conc=0.46
BAND,HERO  # score=5 tier=easy moves=4 avg=14 min=11 conc=0.49
BAND,FITS  # score=5 tier=easy moves=4 avg=18.8 min=13 conc=0.46
BAND,LAMP  # score=5 tier=easy moves=4 avg=18.2 min=12 conc=0.42
BAND,SOIL  # score=5 tier=easy moves=4 avg=13.6 min=9 conc=0.54
BAND,COPS  # score=5 tier=easy moves=4 avg=23.4 min=18 conc=0.38
BAND,DEAR  # score=5 tier=easy moves=4 avg=15.4 min=12 conc=0.48
BAND,DOME  # score=5 tier=easy moves=4 avg=19.2 min=12 conc=0.39
BAND,COLA  # score=5 tier=easy moves=4 avg=14.8 min=12 conc=0.41
BAND,MIKE  # score=5 tier=easy moves=4 avg=17.8 min=14 conc=0.41
BAND,FULL  # score=5 tier=easy moves=4 avg=16.2 min=11 conc=0.49
BAND,WOOD  # score=5 tier=easy moves=4 avg=15 min=12 conc=0.4
BAND,FELL  # score=5 tier=easy moves=4 avg=16.6 min=11 conc=0.49
BAND,LOWE  # score=5 tier=easy moves=4 avg=17.8 min=12 conc=0.45
BAND,PAIN  # score=5 tier=easy moves=4 avg=14.2 min=11 conc=0.47
BAND,BOAT  # score=5 tier=easy moves=4 avg=16.4 min=13 conc=0.4
BAND,SUMS  # score=5 tier=easy moves=4 avg=18.6 min=12 conc=0.39
BAND,FORE  # score=5 tier=easy moves=4 avg=15.2 min=11 conc=0.38
BAND,MISS  # score=5 tier=easy moves=4 avg=21.6 min=16 conc=0.36
BAND,MOOD  # score=5 tier=easy moves=4 avg=13 min=11 conc=0.38
BAND,SEEK  # score=5 tier=easy moves=4 avg=16.2 min=12 conc=0.47
BAND,WISE  # score=5 tier=easy moves=4 avg=18 min=13 conc=0.4
BAND,MILK  # score=5 tier=easy moves=4 avg=13.8 min=11 conc=0.44
BAND,RACE  # score=5 tier=easy moves=4 avg=18.4 min=12 conc=0.41
BAND,BEER  # score=5 tier=easy moves=4 avg=16.4 min=13 conc=0.47
BAND,SHED  # score=5 tier=easy moves=4 avg=15.6 min=11 conc=0.46
BANE,SUMS  # score=5 tier=easy moves=4 avg=23.4 min=16 conc=0.41
BANE,ROPE  # score=5 tier=easy moves=4 avg=22.8 min=18 conc=0.42
BANE,CORD  # score=5 tier=easy moves=4 avg=24 min=14 conc=0.42
BANE,PITS  # score=5 tier=easy moves=4 avg=25.8 min=23 conc=0.47
BANE,SITS  # score=5 tier=easy moves=4 avg=24.4 min=19 conc=0.46
BANE,COST  # score=5 tier=easy moves=4 avg=21.6 min=17 conc=0.46
BANE,HERB  # score=5 tier=easy moves=4 avg=20.6 min=9 conc=0.48
BANE,TOES  # score=5 tier=easy moves=4 avg=23.8 min=20 conc=0.43
BANE,COMA  # score=5 tier=easy moves=4 avg=21.2 min=10 conc=0.41
BANE,PIGS  # score=5 tier=easy moves=4 avg=24.4 min=18 conc=0.49
BANE,CURB  # score=5 tier=easy moves=4 avg=22.6 min=9 conc=0.49
BANG,CALL  # score=5 tier=easy moves=4 avg=17.6 min=11 conc=0.46
BANG,BEAM  # score=5 tier=easy moves=4 avg=15.4 min=11 conc=0.49
BANG,LOSS  # score=5 tier=easy moves=4 avg=21 min=18 conc=0.49
BANG,CARB  # score=5 tier=easy moves=4 avg=18.4 min=13 conc=0.48
BANG,DEAD  # score=5 tier=easy moves=4 avg=15.6 min=12 conc=0.46
BANG,MILD  # score=5 tier=easy moves=4 avg=15.2 min=12 conc=0.45
BANG,MAID  # score=5 tier=easy moves=4 avg=14 min=11 conc=0.54
BANG,COPS  # score=5 tier=easy moves=4 avg=23.4 min=18 conc=0.45
BANK,PURE  # score=5 tier=easy moves=4 avg=19.8 min=15 conc=0.4
BANK,FITS  # score=5 tier=easy moves=4 avg=22.8 min=18 conc=0.47
BANK,HUBS  # score=5 tier=easy moves=4 avg=17.6 min=15 conc=0.47
BANK,TILE  # score=5 tier=easy moves=4 avg=17.2 min=11 conc=0.44
BANK,PORT  # score=5 tier=easy moves=4 avg=16 min=9 conc=0.44
BANK,FIGS  # score=5 tier=easy moves=4 avg=22.6 min=18 conc=0.45
BANK,HUGS  # score=5 tier=easy moves=4 avg=18.2 min=16 conc=0.46
BANK,PIKE  # score=5 tier=easy moves=4 avg=21.6 min=17 conc=0.45
BANK,PIPE  # score=5 tier=easy moves=4 avg=20.4 min=11 conc=0.43
BANS,POST  # score=5 tier=easy moves=4 avg=21.6 min=16 conc=0.45
BANS,HIRE  # score=5 tier=easy moves=4 avg=24 min=13 conc=0.43
BANS,COME  # score=5 tier=easy moves=4 avg=23.6 min=20 conc=0.4
BANS,LOST  # score=5 tier=easy moves=4 avg=20.6 min=16 conc=0.45
BANS,COPE  # score=5 tier=easy moves=4 avg=23.8 min=20 conc=0.41
BANS,HECK  # score=5 tier=easy moves=4 avg=18.2 min=12 conc=0.48
BARB,KIND  # score=5 tier=easy moves=4 avg=13.2 min=8 conc=0.48
BARB,LINE  # score=5 tier=easy moves=4 avg=23.2 min=10 conc=0.47
BARB,WIDE  # score=5 tier=easy moves=4 avg=20.4 min=10 conc=0.47
BARB,MOLE  # score=5 tier=easy moves=4 avg=23.8 min=10 conc=0.45
BARB,BEAD  # score=5 tier=easy moves=4 avg=16 min=10 conc=0.48
BARB,PINE  # score=5 tier=easy moves=4 avg=21.8 min=10 conc=0.49
BARB,COMP  # score=5 tier=easy moves=4 avg=11 min=8 conc=0.62
BARB,DOTS  # score=5 tier=easy moves=4 avg=24.8 min=10 conc=0.49
BARD,HITS  # score=5 tier=easy moves=4 avg=26.2 min=20 conc=0.48
BARD,WISE  # score=5 tier=easy moves=4 avg=21 min=16 conc=0.43
BARD,BEAR  # score=5 tier=easy moves=4 avg=18 min=13 conc=0.46
BARD,WIPE  # score=5 tier=easy moves=4 avg=20.2 min=12 conc=0.46
BARD,DENT  # score=5 tier=easy moves=4 avg=19.6 min=17 conc=0.48
BARD,HIST  # score=5 tier=easy moves=4 avg=19.4 min=14 conc=0.46
BARD,DOWN  # score=5 tier=easy moves=4 avg=13.8 min=7 conc=0.53
BARD,LINE  # score=5 tier=easy moves=4 avg=20.8 min=12 conc=0.45
BARD,TELL  # score=5 tier=easy moves=4 avg=18.6 min=11 conc=0.47
BARD,LENS  # score=5 tier=easy moves=4 avg=17.6 min=12 conc=0.48
BARD,PIKE  # score=5 tier=easy moves=4 avg=19.8 min=16 conc=0.46
BARD,TENS  # score=5 tier=easy moves=4 avg=18.4 min=12 conc=0.48
BARD,CONS  # score=5 tier=easy moves=4 avg=23.6 min=20 conc=0.41
BARD,COTS  # score=5 tier=easy moves=4 avg=24.6 min=21 conc=0.45
BARD,LONE  # score=5 tier=easy moves=4 avg=19.2 min=10 conc=0.46
BARD,CONN  # score=5 tier=easy moves=4 avg=16.6 min=8 conc=0.46
BARD,COPY  # score=5 tier=easy moves=4 avg=16.8 min=11 conc=0.44
BARD,BOAT  # score=5 tier=easy moves=4 avg=15.8 min=11 conc=0.42
BARD,HOST  # score=5 tier=easy moves=4 avg=19.2 min=13 conc=0.47
BARD,TORY  # score=5 tier=easy moves=4 avg=18 min=14 conc=0.43
BARD,WINK  # score=5 tier=easy moves=4 avg=17.8 min=13 conc=0.44
BARD,CODE  # score=5 tier=easy moves=4 avg=20.8 min=14 conc=0.43
BARD,BOTH  # score=5 tier=easy moves=4 avg=19.2 min=10 conc=0.43
BARD,MALT  # score=5 tier=easy moves=4 avg=18.6 min=12 conc=0.41
BARD,REGS  # score=5 tier=easy moves=4 avg=24.4 min=19 conc=0.46
BARE,RAMP  # score=5 tier=easy moves=4 avg=21.2 min=11 conc=0.46
BARE,RIGS  # score=5 tier=easy moves=4 avg=21.6 min=18 conc=0.49
BARE,PINT  # score=5 tier=easy moves=4 avg=22.8 min=15 conc=0.43
BARE,HEAD  # score=5 tier=easy moves=4 avg=18.4 min=12 conc=0.44
BARE,CELL  # score=5 tier=easy moves=4 avg=22 min=15 conc=0.48
BARE,FIND  # score=5 tier=easy moves=4 avg=21.2 min=13 conc=0.44
BARE,FOLD  # score=5 tier=easy moves=4 avg=19.8 min=12 conc=0.49
BARE,COMA  # score=5 tier=easy moves=4 avg=23.8 min=10 conc=0.38
BARE,HITS  # score=5 tier=easy moves=4 avg=24 min=20 conc=0.49
BARE,SINS  # score=5 tier=easy moves=4 avg=27 min=26 conc=0.44
BARE,RINK  # score=5 tier=easy moves=4 avg=20 min=13 conc=0.48
BARE,WIND  # score=5 tier=easy moves=4 avg=23.4 min=16 conc=0.39
BARE,LINK  # score=5 tier=easy moves=4 avg=25.4 min=21 conc=0.44
BARE,PING  # score=5 tier=easy moves=4 avg=23.2 min=17 conc=0.44
BARE,HIST  # score=5 tier=easy moves=4 avg=21.6 min=14 conc=0.43
BARE,SOLO  # score=5 tier=easy moves=4 avg=20.2 min=10 conc=0.49
BARE,SING  # score=5 tier=easy moves=4 avg=24.4 min=15 conc=0.44
BARE,LOAD  # score=5 tier=easy moves=4 avg=18.4 min=10 conc=0.45
BARE,COPY  # score=5 tier=easy moves=4 avg=24 min=11 conc=0.41
BARK,NITE  # score=5 tier=easy moves=4 avg=21.4 min=15 conc=0.46
BARK,SOME  # score=5 tier=easy moves=4 avg=21.2 min=14 conc=0.48
BARK,RITE  # score=5 tier=easy moves=4 avg=22.6 min=19 conc=0.44
BARK,PILE  # score=5 tier=easy moves=4 avg=22.2 min=18 conc=0.42
BARK,SITS  # score=5 tier=easy moves=4 avg=25.6 min=21 conc=0.46
BARK,DICE  # score=5 tier=easy moves=4 avg=17.2 min=10 conc=0.43
BARN,HATH  # score=5 tier=easy moves=4 avg=19.8 min=11 conc=0.48
BARN,LOSS  # score=5 tier=easy moves=4 avg=21.8 min=16 conc=0.45
BARN,RIPE  # score=5 tier=easy moves=4 avg=18.8 min=15 conc=0.48
BARN,DICE  # score=5 tier=easy moves=4 avg=18 min=13 conc=0.46
BARN,SITS  # score=5 tier=easy moves=4 avg=24.6 min=16 conc=0.47
BARN,WIND  # score=5 tier=easy moves=4 avg=16.2 min=13 conc=0.43
BARN,FINS  # score=5 tier=easy moves=4 avg=24.2 min=16 conc=0.43
